iteration,noise_stddev,level
0,46.539,0
1,46.539,0
2,46.539,0
3,52.213,0
4,52.205,0
5,52.217,0
6,52.199,0
7,52.205,0
8,52.211,0
9,52.207,0
10,52.214,0
11,52.213,0
12,52.211,0
13,52.222,0
14,52.199,0
15,52.210,0
16,52.196,0
17,52.202,0
18,52.200,0
19,52.215,0
20,52.207,0
21,52.210,0
22,52.215,0
23,52.201,0
24,52.201,0
25,52.216,0
26,52.215,0
27,52.211,0
28,52.217,0
29,52.199,0
30,52.204,0
31,52.194,0
32,52.204,0
33,52.213,0
34,52.204,0
35,52.207,0
36,52.214,0
37,52.220,0
38,52.216,0
39,52.199,0
40,52.208,0
41,52.216,0
42,52.202,0
43,52.207,0
44,52.198,0
45,52.207,0
46,52.211,0
47,52.214,0
48,52.211,0
49,52.209,0
50,52.209,0
51,52.204,0
52,52.221,0
53,52.215,0
54,52.204,0
55,52.204,0
56,52.218,0
57,52.208,0
58,52.194,0
59,52.220,0
60,52.210,0
61,52.192,0
62,52.205,0
63,52.218,0
64,52.202,0
65,52.204,0
66,52.206,0
67,52.198,0
68,52.195,0
69,52.203,0
70,52.201,0
71,52.207,0
72,52.204,0
73,52.212,0
74,52.213,0
75,52.208,0
76,52.206,0
77,52.218,0
78,52.211,0
79,52.217,0
80,52.211,0
81,52.193,0
82,52.212,0
83,52.211,0
84,52.212,0
85,52.207,0
86,52.201,0
87,52.212,0
88,52.207,0
89,52.210,0
90,52.220,0
91,52.202,0
92,52.216,0
93,52.216,0
94,52.211,0
95,52.210,0
96,52.194,0
97,52.212,0
98,52.226,0
99,52.207,0
100,52.210,0
101,52.222,0
102,52.200,0
103,52.208,0
104,52.211,0
105,52.207,0
106,52.222,0
107,52.214,0
108,52.214,0
109,52.211,0
110,52.199,0
111,52.206,0
112,52.210,0
113,52.209,0
114,52.200,0
115,52.205,0
116,52.204,0
117,52.204,0
118,52.210,0
119,52.198,0
120,52.209,0
121,52.216,0
122,52.203,0
123,52.213,0
124,52.203,0
125,52.206,0
126,52.204,0
127,52.205,0
128,52.210,0
129,52.202,0
130,52.209,0
131,52.220,0
132,52.204,0
133,52.204,0
134,52.208,0
135,52.207,0
136,52.214,0
137,52.196,0
138,52.208,0
139,52.210,0
140,52.196,0
141,52.208,0
142,52.214,0
143,52.216,0
144,52.209,0
145,52.223,0
146,52.199,0
147,52.203,0
148,52.206,0
149,52.213,0
150,52.210,0
151,52.217,0
152,52.218,0
153,52.218,0
154,52.201,0
155,52.209,0
156,52.208,0
157,52.213,0
158,52.211,0
159,52.208,0
160,52.217,0
161,52.210,0
162,52.204,0
163,52.217,0
164,52.196,0
165,52.201,0
166,52.206,0
167,52.209,0
168,52.203,0
169,52.204,0
170,52.209,0
171,52.220,0
172,52.199,0
173,52.201,0
174,52.216,0
175,52.204,0
176,52.210,0
177,52.206,0
178,52.214,0
179,52.212,0
180,52.206,0
181,52.200,0
182,52.202,0
183,52.205,0
184,52.206,0
185,52.208,0
186,52.211,0
187,52.217,0
188,52.197,0
189,52.206,0
190,52.213,0
191,52.212,0
192,52.192,0
193,52.209,0
194,52.220,0
195,52.214,0
196,52.226,0
197,52.208,0
198,52.201,0
199,52.206,0
200,52.213,0
201,52.206,0
202,52.205,0
203,52.203,0
204,52.207,0
205,52.198,0
206,52.211,0
207,52.214,0
208,52.205,0
209,52.211,0
210,52.216,0
211,52.214,0
212,52.210,0
213,52.207,0
214,52.203,0
215,52.212,0
216,52.207,0
217,52.210,0
218,52.199,0
219,52.199,0
220,52.211,0
221,52.221,0
222,52.230,0
223,52.203,0
224,52.194,0
225,52.214,0
226,52.193,0
