epoch,query_bytes,query_kb
1,524606,512.311
2,524606,512.311
3,524606,512.311
4,524606,512.311
5,524606,512.311
6,524606,512.311
7,524606,512.311
8,524606,512.311
9,524606,512.311
10,524606,512.311
11,524606,512.311
12,524606,512.311
13,524606,512.311
14,524606,512.311
15,524606,512.311
16,524606,512.311
17,524606,512.311
18,524606,512.311
19,524606,512.311
20,524606,512.311
21,524606,512.311
22,524606,512.311
23,524606,512.311
24,524606,512.311
25,524606,512.311
26,524606,512.311
27,524606,512.311
28,524606,512.311
29,524606,512.311
30,524606,512.311
